"","variable","description"
"1","CNT","Country code 3-character"
"2","SUBNATIO","Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)"
"3","STRATUM","Stratum ID 7-character (cnt + region ID + original stratum ID)"
"4","OECD","OECD country"
"5","NC","National Centre 6-digit Code"
"6","SCHOOLID","School ID 7-digit (region ID + stratum ID + 3-digit school ID)"
"7","STIDSTD","Student ID"
"8","PA01Q01","Completed Quest  -  Mother"
"9","PA01Q02","Completed Quest  -  Father"
"10","PA01Q03","Completed Quest  -  Other"
"11","PA02Q01","Parent Age - Father"
"12","PA02Q02","Parent Age - Mother"
"13","PA03Q01","Father Qualification - <ISCED level 5A, 6>"
"14","PA03Q02","Father Qualification - <ISCED level 5B>"
"15","PA03Q03","Father Qualification - <ISCED level 4>"
"16","PA03Q04","Father Qualification - <ISCED level 3A>"
"17","PA05Q01","Mother Qualification - <ISCED level 5A, 6>"
"18","PA05Q02","Mother Qualification - <ISCED level 5B>"
"19","PA05Q03","Mother Qualification - <ISCED level 4>"
"20","PA05Q04","Mother Qualification - <ISCED level 3A>"
"21","PA07Q01","Annual Household Income"
"22","PA08Q01","Education Cost"
"23","PA09Q01","School  -  Teach Competent"
"24","PA09Q02","School  -  Achieve High"
"25","PA09Q03","School  -  Content Good"
"26","PA09Q04","School  -  Discipline Good"
"27","PA09Q05","School  -  Progress Monitored"
"28","PA09Q06","School  -  Progress Information"
"29","PA09Q07","School  -  Education Good"
"30","PA10Q01","Activities - Discuss behaviour own initiative"
"31","PA10Q02","Activities - Discuss behaviour teacher"
"32","PA10Q03","Activities - Volunteer maintenance"
"33","PA10Q04","Activities - Volunteer clubs"
"34","PA10Q05","Activities - Volunteer library"
"35","PA10Q06","Activities - Assist teacher"
"36","PA10Q07","Activities - Guest speaker"
"37","PA10Q08","Activities - School government"
"38","PA10Q09","Activities - Discuss progress own initiative"
"39","PA10Q10","Activities - Discuss progress teacher"
"40","PA10Q11","Activities - Volunteer in school canteen"
"41","PA11Q01","Available Schooling"
"42","PA12Q01","School Selection - Short distance"
"43","PA12Q02","School Selection - Good reputation"
"44","PA12Q03","School Selection - Course availability"
"45","PA12Q04","School Selection - Particular philosophy"
"46","PA12Q05","School Selection - Teaching approach"
"47","PA12Q06","School Selection - Other family members"
"48","PA12Q07","School Selection - Low expenses"
"49","PA12Q08","School Selection - Financial aid"
"50","PA12Q09","School Selection - Pleasant environment"
"51","PA12Q10","School Selection - High achievements"
"52","PA12Q11","School Selection - Safe environment"
"53","PA13Q01","With Child  - Wellbeing at school"
"54","PA13Q02","With Child  - Eat main meal"
"55","PA13Q03","With Child  - Time talking"
"56","PA13Q04","With Child  - Homework help"
"57","PA13Q05","With Child  - Performance math"
"58","PA13Q06","With Child  - Math materials"
"59","PA13Q07","With Child  - Applying math"
"60","PA14Q01","Math Skills Importance - Get good jobs"
"61","PA14Q02","Math Skills Importance - Employer appreciation"
"62","PA14Q03","Math Skills Importance - Job requirement"
"63","PA14Q04","Math Skills Importance - Advantage in job market"
"64","PA15Q01","Math Career - In family"
"65","PA15Q02","Math Career - Child interest"
"66","PA15Q03","Math Career - Child expectation"
"67","PA15Q04","Math Career - Child study interest"
"68","PA15Q05","Math Career - Child study expectation"
"69","PA18Q01","Repeat Grade - At < ISCED 1>"
"70","PA18Q02","Repeat Grade - At < ISCED 2>"
"71","PA18Q03","Repeat Grade - At < ISCED 3>"
"72","PA19Q01","Expected completed levels - <ISCED level 2>"
"73","PA19Q02","Expected completed levels - <ISCED level 3B or C>"
"74","PA19Q03","Expected completed levels - <ISCED level 3A>"
