"","variable","description"
"1","CNT","Country code 3-character"
"2","SUBNATIO","Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)"
"3","STRATUM","Stratum ID 7-character (cnt + region ID + original stratum ID)"
"4","OECD","OECD country"
"5","NC","National Centre 6-digit Code"
"6","SCHOOLID","School ID 7-digit (region ID + stratum ID + 3-digit school ID)"
"7","SC01Q01","Public or private"
"8","SC02Q01","Funding - Government"
"9","SC02Q02","Funding - Student fees"
"10","SC02Q03","Funding - Benefactors"
"11","SC02Q04","Funding - Other"
"12","SC03Q01","School Location"
"13","SC04Q01","Competition between schools"
"14","SC05Q01","Class size in <test language>"
"15","SC07Q01","Enrolment - Number of boys"
"16","SC07Q02","Enrolment - Number of girls"
"17","SC09Q11","No. of teachers - Total Full Time"
"18","SC09Q12","No. of teachers - Total Part time"
"19","SC09Q21","No. of teachers - Certified Full Time"
"20","SC09Q22","No. of teachers - Certified Part Time"
"21","SC09Q31","No. of teachers - <ISCED5A> Qualified Full Time"
"22","SC09Q32","No. of teachers - <ISCED5A> Qualified Part Time"
"23","SC10Q11","No. of math teachers - Total Full Time"
"24","SC10Q12","No. of math teachers - Total Part time"
"25","SC10Q61","No. of math teachers - <ISCED5A> Qual Full Time"
"26","SC10Q62","No. of math teachers - <ISCED5A> Qual Part Time"
"27","SC10Q21","No. of math teachers - <ISCED5A> Qual Math Major Full Time"
"28","SC10Q22","No. of math teachers - <ISCED5A> Qual Math Major Part Time"
"29","SC10Q41","No. of math teachers - <ISCED5A> Qual Pedagogy Full Time"
"30","SC10Q42","No. of math teachers - <ISCED5A> Qual Pedagogy Part Time"
"31","SC10Q51","No. of math teachers - <ISCED5B> Qual Full Time"
"32","SC10Q52","No. of math teachers - <ISCED5B> Qual Part Time"
"33","SC11Q01","Student Computers - Total number of students in the <national modal grade for 15-year-olds>"
"34","SC11Q02","Student Computers - Computers for Education"
"35","SC11Q03","Student Computers - Computers with Internet"
"36","SC13Q01","Internet schoolwork - Lessons"
"37","SC13Q02","Internet schoolwork - Homework"
"38","SC13Q03","Internet schoolwork - Assignments"
"39","SC14Q01","Shortage - Science teachers"
"40","SC14Q02","Shortage - Math teachers"
"41","SC14Q03","Shortage - <Test language> teachers"
"42","SC14Q04","Shortage - Other teachers"
"43","SC14Q05","Shortage - Science lab equipment"
"44","SC14Q06","Shortage - Instructional materials"
"45","SC14Q07","Shortage - Computers for instruction"
"46","SC14Q08","Shortage - Internet connectivity"
"47","SC14Q09","Shortage - Computer software"
"48","SC14Q10","Shortage - Library materials"
"49","SC14Q11","Shortage - Buildings and grounds"
"50","SC14Q12","Shortage - Heating/cooling and lighting"
"51","SC14Q13","Shortage - Instructional space"
"52","SC15Q01","Ability grouping - Similar content/different difficulty"
"53","SC15Q02","Ability grouping - Different content/different difficulty"
"54","SC15Q03","Ability grouping - Grouped by ability"
"55","SC15Q04","Ability grouping - Not grouped by ability"
"56","SC16Q01","Activities - Band"
"57","SC16Q02","Activities - School play"
"58","SC16Q03","Activities - Yearbook or newspaper"
"59","SC16Q04","Activities - Volunteering"
"60","SC16Q05","Activities - Mathematics club"
"61","SC16Q06","Activities - Mathematics competitions"
"62","SC16Q07","Activities - Chess club"
"63","SC16Q08","Activities - Computer or ICT club"
"64","SC16Q09","Activities - Art club"
"65","SC16Q10","Activities - Sporting team"
"66","SC16Q11","Activities - <country specific item>"
"67","SC18Q01","Assessments  -  Child's Progress"
"68","SC18Q02","Assessments  -  Student Promotion"
"69","SC18Q03","Assessments  -  Instruction"
"70","SC18Q04","Assessments  -  National Performance"
