"","variable","description"
"1","CNT","Country code 3-character"
"2","SUBNATIO","Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)"
"3","STRATUM","Stratum ID 7-character (cnt + region ID + original stratum ID)"
"4","OECD","OECD country"
"5","NC","National Centre 6-digit Code"
"6","SCHOOLID","School ID 7-digit (region ID + stratum ID + 3-digit school ID)"
"7","STIDSTD","Student ID"
"8","ST01Q01","International Grade"
"9","ST02Q01","National Study Programme"
"10","ST03Q01","Birth - Month"
"11","ST03Q02","Birth -Year"
"12","ST04Q01","Gender"
"13","ST05Q01","Attend <ISCED 0>"
"14","ST06Q01","Age at <ISCED 1>"
"15","ST07Q01","Repeat - <ISCED 1>"
"16","ST07Q02","Repeat - <ISCED 2>"
"17","ST07Q03","Repeat - <ISCED 3>"
"18","ST08Q01","Truancy - Late for School"
"19","ST09Q01","Truancy - Skip whole school day"
"20","ST115Q01","Truancy - Skip classes within school day"
"21","ST11Q01","At Home - Mother"
"22","ST11Q02","At Home - Father"
"23","ST11Q03","At Home - Brothers"
"24","ST11Q04","At Home - Sisters"
"25","ST11Q05","At Home - Grandparents"
"26","ST11Q06","At Home - Others"
"27","ST13Q01","Mother<Highest Schooling>"
"28","ST14Q01","Mother Qualifications - <ISCED level 6>"
"29","ST14Q02","Mother Qualifications - <ISCED level 5A>"
"30","ST14Q03","Mother Qualifications - <ISCED level 5B>"
"31","ST14Q04","Mother Qualifications - <ISCED level 4>"
"32","ST15Q01","Mother Current Job Status"
"33","ST17Q01","Father<Highest Schooling>"
"34","ST18Q01","Father Qualifications - <ISCED level 6>"
"35","ST18Q02","Father Qualifications - <ISCED level 5A>"
"36","ST18Q03","Father Qualifications - <ISCED level 5B>"
"37","ST18Q04","Father Qualifications - <ISCED level 4>"
"38","ST19Q01","Father Current Job Status"
"39","ST20Q01","Country of Birth International - Self"
"40","ST20Q02","Country of Birth International - Mother"
"41","ST20Q03","Country of Birth International - Father"
"42","ST21Q01","Age of arrival in <country of test>"
"43","ST25Q01","International Language at Home"
"44","ST26Q01","Possessions - desk"
"45","ST26Q02","Possessions - own room"
"46","ST26Q03","Possessions - study place"
"47","ST26Q04","Possessions - computer"
"48","ST26Q05","Possessions - software"
"49","ST26Q06","Possessions - Internet"
"50","ST26Q07","Possessions - literature"
"51","ST26Q08","Possessions - poetry"
"52","ST26Q09","Possessions - art"
"53","ST26Q10","Possessions - textbooks"
"54","ST26Q11","Possessions - <technical reference books>"
"55","ST26Q12","Possessions - dictionary"
"56","ST26Q13","Possessions - dishwasher"
"57","ST26Q14","Possessions - <DVD>"
"58","ST26Q15","Possessions - <Country item 1>"
"59","ST26Q16","Possessions - <Country item 2>"
"60","ST26Q17","Possessions - <Country item 3>"
"61","ST27Q01","How many - cellular phones"
"62","ST27Q02","How many - televisions"
"63","ST27Q03","How many - computers"
"64","ST27Q04","How many - cars"
"65","ST27Q05","How many - rooms bath or shower"
"66","ST28Q01","How many books at home"
"67","ST29Q01","Math Interest - Enjoy Reading"
"68","ST29Q02","Instrumental Motivation - Worthwhile for Work"
"69","ST29Q03","Math Interest - Look Forward to Lessons"
"70","ST29Q04","Math Interest - Enjoy Maths"
"71","ST29Q05","Instrumental Motivation - Worthwhile for Career Chances"
"72","ST29Q06","Math Interest - Interested"
"73","ST29Q07","Instrumental Motivation - Important for Future Study"
"74","ST29Q08","Instrumental Motivation - Helps to Get a Job"
"75","ST35Q01","Subjective Norms -Friends Do Well in Mathematics"
"76","ST35Q02","Subjective Norms -Friends Work Hard on Mathematics"
